age,task_category,difficulty,points,past_completion_rate,current_streak,total_tasks_assigned,day_of_week,time_of_day,performance_level,streak_x_completion,age_x_difficulty,points_x_completion,success
7,6,0,30,0.08,5,3,2,22,0,0.4,0,2.4,0
6,0,1,30,0.61,17,28,6,3,6,10.37,6,18.3,1
9,7,2,95,0.77,22,15,0,15,7,16.94,18,73.15,1
14,7,0,70,0.59,19,79,2,18,5,11.209999999999999,0,41.3,1
16,8,0,30,0.51,6,15,5,17,5,3.06,0,15.3,1
5,0,0,70,0.42,0,95,5,23,4,0.0,0,29.4,1
7,0,0,5,0.35,6,96,1,17,3,2.0999999999999996,0,1.75,1
10,3,2,65,0.19,3,1,2,20,1,0.5700000000000001,20,12.35,0
5,5,0,45,0.24,16,31,4,22,2,3.84,0,10.799999999999999,1
5,5,2,30,0.92,26,79,1,21,9,23.92,10,27.6,1
17,9,2,10,0.06,12,69,5,13,0,0.72,34,0.6,0
7,7,1,40,0.86,5,72,1,16,8,4.3,7,34.4,1
14,6,2,35,0.21,15,53,5,2,2,3.15,28,7.35,0
13,5,2,20,0.88,30,70,6,12,8,26.4,26,17.6,1
7,6,1,20,0.25,17,40,6,3,2,4.25,7,5.0,0
5,1,0,25,0.66,25,21,1,7,6,16.5,0,16.5,1
16,9,0,20,0.67,27,66,5,7,6,18.09,0,13.4,1
10,2,1,100,0.73,2,68,3,10,7,1.46,10,73.0,1
16,0,1,80,0.49,3,84,0,13,4,1.47,16,39.2,1
17,5,2,30,0.01,28,69,4,3,0,0.28,34,0.3,0
15,4,0,15,0.62,14,78,3,13,6,8.68,0,9.3,1
6,7,2,20,0.35,18,54,4,17,3,6.3,12,7.0,0
15,3,2,50,0.35,15,23,5,21,3,5.25,30,17.5,0
5,2,2,65,0.38,22,52,4,12,3,8.36,10,24.7,0
17,2,2,60,0.57,3,18,2,14,5,1.71,34,34.199999999999996,1
8,4,2,85,0.59,28,21,2,10,5,16.52,16,50.15,1
8,9,1,70,0.63,0,98,3,23,6,0.0,8,44.1,1
9,2,2,100,0.02,8,81,3,4,0,0.16,18,2.0,0
17,9,1,70,0.59,9,9,6,14,5,5.31,17,41.3,1
14,9,1,80,0.02,0,71,6,19,0,0.0,14,1.6,0
12,4,2,80,0.25,11,88,4,18,2,2.75,24,20.0,0
9,6,1,15,0.95,6,78,6,16,9,5.699999999999999,9,14.25,1
9,1,1,75,0.24,26,59,4,20,2,6.24,9,18.0,1
10,3,1,95,0.54,17,14,3,9,5,9.18,10,51.300000000000004,1
17,9,2,5,0.27,10,2,6,19,2,2.7,34,1.35,0
7,8,1,5,0.33,5,16,6,1,3,1.6500000000000001,7,1.6500000000000001,0
7,6,0,75,0.04,12,38,4,19,0,0.48,0,3.0,0
5,8,0,45,0.53,8,46,4,3,5,4.24,0,23.85,1
17,3,0,90,0.88,18,72,1,21,8,15.84,0,79.2,1
17,0,1,80,0.31,26,70,4,7,3,8.06,17,24.8,1
14,9,2,80,0.26,27,96,0,17,2,7.0200000000000005,28,20.8,1
8,0,0,75,0.79,29,2,0,0,7,22.91,0,59.25,1
8,0,2,60,0.72,24,87,3,3,7,17.28,16,43.199999999999996,1
14,9,1,35,0.02,30,46,3,9,0,0.6,14,0.7000000000000001,1
9,9,0,75,0.98,21,38,3,14,9,20.58,0,73.5,1
14,0,2,80,0.91,29,3,5,3,9,26.39,28,72.8,1
13,7,0,70,0.88,25,5,0,3,8,22.0,0,61.6,1
15,3,1,60,0.89,3,7,1,8,8,2.67,15,53.4,1
9,4,1,25,0.6,30,6,3,15,6,18.0,9,15.0,1
9,5,1,90,0.9,12,48,1,9,9,10.8,9,81.0,1
5,6,0,25,0.12,29,45,4,19,1,3.48,0,3.0,1
11,7,0,55,0.93,24,23,1,5,9,22.32,0,51.150000000000006,1
6,9,0,55,0.24,29,82,5,21,2,6.96,0,13.2,1
9,7,0,45,0.5,15,50,2,17,5,7.5,0,22.5,1
9,5,1,100,0.22,13,42,1,3,2,2.86,9,22.0,0
8,8,0,55,0.01,26,11,1,9,0,0.26,0,0.55,1
10,3,0,30,0.7,27,77,0,0,7,18.9,0,21.0,1
16,3,1,25,0.66,30,12,6,2,6,19.8,16,16.5,1
16,7,0,25,0.63,14,64,1,13,6,8.82,0,15.75,1
17,4,2,90,0.73,19,45,4,10,7,13.87,34,65.7,1
16,5,2,55,0.17,18,86,2,5,1,3.06,32,9.350000000000001,0
15,5,0,55,0.1,3,65,2,15,1,0.30000000000000004,0,5.5,1
10,9,0,75,0.07,10,7,4,20,0,0.7000000000000001,0,5.250000000000001,1
5,5,1,100,0.09,14,59,2,8,0,1.26,5,9.0,0
12,3,1,35,0.36,4,39,3,16,3,1.44,12,12.6,1
16,4,0,75,0.12,18,39,5,18,1,2.16,0,9.0,1
12,3,1,50,0.85,19,27,0,10,8,16.15,12,42.5,1
8,7,2,90,0.03,6,16,4,6,0,0.18,16,2.6999999999999997,0
11,1,0,35,0.24,20,67,4,5,2,4.8,0,8.4,1
11,0,2,80,0.51,28,23,6,17,5,14.280000000000001,22,40.8,1
6,5,0,80,0.54,6,2,2,17,5,3.24,0,43.2,1
11,2,1,15,0.31,3,57,5,9,3,0.9299999999999999,11,4.65,1
15,3,1,40,0.48,25,66,0,3,4,12.0,15,19.2,1
13,9,0,60,0.42,15,25,2,8,4,6.3,0,25.2,1
11,7,0,80,0.44,12,21,4,12,4,5.28,0,35.2,1
14,1,1,40,0.21,12,18,4,19,2,2.52,14,8.4,0
11,6,1,55,0.05,18,74,4,0,0,0.9,11,2.75,0
16,0,0,10,0.53,17,44,3,7,5,9.01,0,5.300000000000001,1
14,0,2,40,0.83,21,91,2,5,8,17.43,28,33.199999999999996,1
6,1,2,100,0.41,16,38,2,5,4,6.56,12,41.0,0
15,4,1,45,0.74,16,100,4,9,7,11.84,15,33.3,1
14,9,2,75,0.58,14,22,4,11,5,8.12,28,43.5,1
17,7,1,95,0.35,16,17,4,23,3,5.6,17,33.25,1
6,9,0,30,0.14,14,96,4,14,1,1.9600000000000002,0,4.2,1
16,8,2,15,0.82,9,68,4,6,8,7.38,32,12.299999999999999,1
15,9,1,15,0.46,29,43,6,18,4,13.34,15,6.9,1
13,4,1,55,0.81,25,35,6,6,8,20.25,13,44.550000000000004,1
11,7,0,85,0.99,16,14,0,5,9,15.84,0,84.15,1
16,3,2,5,0.21,16,44,6,13,2,3.36,32,1.05,0
13,1,0,95,0.25,15,69,0,8,2,3.75,0,23.75,1
10,9,0,5,0.74,19,85,6,23,7,14.06,0,3.7,1
14,2,0,75,0.47,1,48,2,4,4,0.47,0,35.25,1
13,6,1,95,0.21,26,48,0,20,2,5.46,13,19.95,1
15,5,2,85,0.54,0,97,5,14,5,0.0,30,45.900000000000006,1
16,0,2,55,0.2,21,51,0,23,2,4.2,32,11.0,0
16,1,0,95,0.24,18,11,0,7,2,4.32,0,22.8,1
13,2,2,80,0.31,20,41,2,3,3,6.2,26,24.8,0
8,6,0,95,0.06,16,42,6,17,0,0.96,0,5.7,1
17,1,2,20,0.04,10,8,1,9,0,0.4,34,0.8,0
8,7,0,65,0.07,10,90,6,16,0,0.7000000000000001,0,4.550000000000001,1
12,3,1,65,0.14,14,11,1,22,1,1.9600000000000002,12,9.100000000000001,1
16,9,1,95,0.25,11,31,6,19,2,2.75,16,23.75,1
5,0,2,55,0.54,27,97,6,13,5,14.580000000000002,10,29.700000000000003,1
6,5,2,50,0.45,7,12,5,10,4,3.15,12,22.5,0
11,6,0,95,0.49,5,46,2,3,4,2.45,0,46.55,1
6,6,1,40,0.39,21,79,0,21,3,8.19,6,15.600000000000001,1
7,8,0,80,0.49,14,4,6,5,4,6.859999999999999,0,39.2,1
13,9,1,65,0.41,10,32,2,5,4,4.1,13,26.65,1
13,1,1,45,0.26,26,91,5,13,2,6.76,13,11.700000000000001,1
6,0,0,100,1.0,14,42,5,6,9,14.0,0,100.0,1
10,8,2,50,0.41,8,6,2,3,4,3.28,20,20.5,0
5,3,2,90,0.55,4,63,1,0,5,2.2,10,49.50000000000001,1
12,6,0,70,0.13,27,66,6,3,1,3.5100000000000002,0,9.1,1
9,4,2,45,0.45,16,97,4,7,4,7.2,18,20.25,1
14,5,0,5,0.58,18,6,3,15,5,10.44,0,2.9,1
11,4,2,100,0.63,22,1,4,5,6,13.86,22,63.0,1
7,8,2,45,0.94,16,59,6,8,9,15.04,14,42.3,1
10,5,0,40,0.83,24,43,4,23,8,19.919999999999998,0,33.199999999999996,1
12,2,1,20,0.45,28,26,0,20,4,12.6,12,9.0,1
11,8,2,20,0.79,24,50,6,8,7,18.96,22,15.8,1
17,0,0,50,0.95,18,65,6,16,9,17.099999999999998,0,47.5,1
6,8,1,35,0.55,14,84,5,11,5,7.700000000000001,6,19.25,1
13,3,2,40,0.21,9,98,3,14,2,1.89,26,8.4,0
5,4,0,40,0.72,19,2,4,3,7,13.68,0,28.799999999999997,1
10,3,2,70,0.97,5,70,1,12,9,4.85,20,67.89999999999999,1
7,5,1,30,0.97,29,34,0,20,9,28.13,7,29.099999999999998,1
7,3,0,100,0.03,20,46,3,14,0,0.6,0,3.0,1
7,0,1,45,0.07,1,91,5,15,0,0.07,7,3.1500000000000004,0
16,9,2,45,0.1,6,21,2,11,1,0.6000000000000001,32,4.5,0
17,3,2,15,0.06,15,92,4,9,0,0.8999999999999999,34,0.8999999999999999,0
6,2,0,45,0.54,14,4,4,23,5,7.5600000000000005,0,24.3,1
16,8,1,25,0.74,8,74,3,6,7,5.92,16,18.5,1
7,2,1,15,0.99,26,39,6,4,9,25.74,7,14.85,1
7,4,0,45,0.83,22,83,5,6,8,18.259999999999998,0,37.35,1
7,6,0,20,0.53,19,7,0,6,5,10.07,0,10.600000000000001,1
9,6,2,70,0.1,12,28,0,15,1,1.2000000000000002,18,7.0,0
5,2,2,65,0.45,20,22,0,4,4,9.0,10,29.25,0
17,0,0,100,0.34,25,31,3,13,3,8.5,0,34.0,1
16,2,0,95,0.36,13,70,4,0,3,4.68,0,34.199999999999996,1
5,5,1,80,0.6,0,8,0,15,6,0.0,5,48.0,1
8,2,1,95,0.97,0,60,1,19,9,0.0,8,92.14999999999999,1
12,1,0,10,0.65,5,21,0,3,6,3.25,0,6.5,1
8,8,1,95,0.04,16,61,0,20,0,0.64,8,3.8000000000000003,0
11,7,0,30,0.12,25,33,2,22,1,3.0,0,3.5999999999999996,1
17,4,2,70,0.79,15,15,4,5,7,11.850000000000001,34,55.300000000000004,1
13,1,1,5,0.45,9,32,3,1,4,4.05,13,2.25,1
7,3,1,50,0.86,29,17,1,11,8,24.94,7,43.0,1
7,1,2,65,0.02,10,24,1,18,0,0.2,14,1.3,0
9,1,0,5,0.58,9,95,6,14,5,5.22,0,2.9,1
17,7,0,65,0.62,6,87,1,13,6,3.7199999999999998,0,40.3,1
15,5,1,20,0.22,4,61,3,2,2,0.88,15,4.4,0
14,4,2,90,0.02,21,18,2,11,0,0.42,28,1.8,0
16,5,2,90,0.35,12,5,1,3,3,4.199999999999999,32,31.499999999999996,0
6,9,2,20,0.32,29,69,4,2,3,9.28,12,6.4,0
7,6,2,65,0.99,22,37,5,19,9,21.78,14,64.35,1
17,8,1,45,0.48,13,66,5,13,4,6.24,17,21.599999999999998,1
7,3,1,65,1.0,29,2,4,16,9,29.0,7,65.0,1
9,4,1,45,0.02,23,30,3,21,0,0.46,9,0.9,0
13,1,2,20,0.57,15,38,4,18,5,8.549999999999999,26,11.399999999999999,1
7,1,1,50,0.04,12,74,5,23,0,0.48,7,2.0,0
17,8,0,65,0.61,23,81,1,6,6,14.03,0,39.65,1
17,5,0,45,0.54,16,56,2,14,5,8.64,0,24.3,1
5,8,0,20,0.22,30,68,3,10,2,6.6,0,4.4,1
9,6,0,25,0.71,0,22,0,5,7,0.0,0,17.75,1
8,7,2,25,0.87,11,43,0,6,8,9.57,16,21.75,1
17,3,0,10,0.02,17,67,3,7,0,0.34,0,0.2,1
17,4,2,65,0.45,18,15,4,0,4,8.1,34,29.25,1
5,8,2,95,0.77,18,12,0,8,7,13.86,10,73.15,1
6,6,0,5,0.58,27,12,3,18,5,15.659999999999998,0,2.9,1
17,2,0,25,0.69,6,59,5,18,6,4.14,0,17.25,1
15,8,2,75,0.74,19,6,3,0,7,14.06,30,55.5,1
13,5,1,90,0.99,30,11,6,17,9,29.7,13,89.1,1
11,7,1,65,0.24,1,3,4,18,2,0.24,11,15.6,0
13,4,2,40,0.25,3,13,5,7,2,0.75,26,10.0,0
12,1,0,85,0.88,10,12,5,19,8,8.8,0,74.8,1
13,5,2,45,0.33,4,98,4,9,3,1.32,26,14.850000000000001,0
7,0,0,45,0.8,21,2,0,11,8,16.8,0,36.0,1
8,5,0,45,0.41,0,58,2,12,4,0.0,0,18.45,1
14,9,2,45,0.28,28,91,2,12,2,7.840000000000001,28,12.600000000000001,1
7,0,0,10,0.55,8,83,5,0,5,4.4,0,5.5,1
17,2,2,90,0.91,22,65,1,4,9,20.02,34,81.9,1
15,3,2,75,0.6,24,37,0,4,6,14.399999999999999,30,45.0,1
11,2,0,85,0.35,28,9,3,8,3,9.799999999999999,0,29.749999999999996,1
16,5,0,75,0.23,29,46,5,6,2,6.67,0,17.25,1
11,4,0,40,0.34,14,3,0,9,3,4.760000000000001,0,13.600000000000001,1
6,2,2,20,0.99,17,18,4,22,9,16.83,12,19.8,1
10,1,2,20,0.69,30,9,5,5,6,20.7,20,13.799999999999999,1
17,5,1,95,0.02,21,51,0,1,0,0.42,17,1.9000000000000001,1
14,2,0,10,0.26,13,4,0,2,2,3.38,0,2.6,1
7,8,0,85,0.14,2,4,0,23,1,0.28,0,11.9,0
7,3,0,95,0.74,29,81,3,2,7,21.46,0,70.3,1
10,1,0,5,0.65,8,69,5,11,6,5.2,0,3.25,1
5,7,2,70,0.44,10,29,6,23,4,4.4,10,30.8,0
17,4,1,65,0.73,28,40,5,5,7,20.439999999999998,17,47.449999999999996,1
7,7,1,40,0.85,9,50,6,0,8,7.6499999999999995,7,34.0,1
6,9,0,55,0.24,11,64,5,23,2,2.6399999999999997,0,13.2,1
17,3,2,50,0.49,4,34,1,11,4,1.96,34,24.5,0
11,1,1,70,0.53,5,41,6,3,5,2.6500000000000004,11,37.1,1
16,2,1,30,0.39,0,66,3,13,3,0.0,16,11.700000000000001,1
16,6,1,65,0.95,27,17,2,2,9,25.65,16,61.75,1
14,7,1,90,0.44,27,35,6,19,4,11.88,14,39.6,1
9,7,1,15,0.66,18,8,5,6,6,11.88,9,9.9,1
10,0,0,70,0.97,3,66,2,16,9,2.91,0,67.89999999999999,1
14,7,1,25,0.13,10,35,6,6,1,1.3,14,3.25,0
9,0,1,70,0.88,24,49,4,4,8,21.12,9,61.6,1
6,2,0,55,0.79,13,33,4,23,7,10.27,0,43.45,1
17,5,0,60,0.26,25,23,0,12,2,6.5,0,15.600000000000001,1
15,4,1,15,0.77,3,86,5,19,7,2.31,15,11.55,1
12,3,2,90,0.08,4,60,1,0,0,0.32,24,7.2,0
15,6,0,50,0.23,21,76,6,9,2,4.83,0,11.5,1
13,8,0,15,0.53,8,76,6,13,5,4.24,0,7.95,1
13,0,1,65,0.26,24,3,2,3,2,6.24,13,16.900000000000002,1
6,0,0,15,0.16,28,48,2,6,1,4.48,0,2.4,1
15,4,0,30,0.25,0,16,5,12,2,0.0,0,7.5,1
5,4,2,85,0.42,26,31,3,4,4,10.92,10,35.699999999999996,0
6,8,1,10,0.99,6,21,0,22,9,5.9399999999999995,6,9.9,1
8,1,2,75,0.55,18,80,4,1,5,9.9,16,41.25,1
6,1,1,10,0.94,6,39,3,3,9,5.64,6,9.399999999999999,1
8,1,2,80,0.75,18,60,6,20,7,13.5,16,60.0,1
13,6,0,20,0.88,24,50,1,11,8,21.12,0,17.6,1
15,9,0,85,0.26,18,83,2,20,2,4.68,0,22.1,1
12,8,1,60,0.92,20,16,0,6,9,18.400000000000002,12,55.2,1
12,5,0,55,0.53,22,16,0,15,5,11.66,0,29.150000000000002,1
7,8,2,75,0.52,0,61,1,14,5,0.0,14,39.0,0
14,0,2,40,0.47,30,54,0,13,4,14.1,28,18.799999999999997,1
5,8,2,85,0.11,19,61,6,4,1,2.09,10,9.35,0
7,3,2,100,0.88,18,82,3,8,8,15.84,14,88.0,1
12,7,0,90,0.2,10,30,0,14,2,2.0,0,18.0,1
11,8,0,5,0.18,9,71,0,21,1,1.6199999999999999,0,0.8999999999999999,1
16,8,1,60,0.47,16,5,0,5,4,7.52,16,28.2,1
15,4,2,50,0.19,24,18,1,12,1,4.5600000000000005,30,9.5,0
7,2,0,65,0.59,25,50,4,21,5,14.75,0,38.35,1
17,6,2,60,0.85,8,51,5,15,8,6.8,34,51.0,1
5,6,1,60,0.07,19,89,0,7,0,1.33,5,4.2,0
14,5,2,25,0.09,1,95,0,13,0,0.09,28,2.25,0
9,2,1,15,0.0,29,2,1,6,0,0.0,9,0.0,0
10,0,2,85,0.77,28,21,2,6,7,21.560000000000002,20,65.45,1
16,1,2,90,0.87,18,18,2,17,8,15.66,32,78.3,1
9,8,0,40,0.02,9,14,5,13,0,0.18,0,0.8,0
17,1,0,55,0.86,1,19,0,11,8,0.86,0,47.3,1
6,6,1,60,0.76,22,71,3,22,7,16.72,6,45.6,1
9,6,2,40,0.23,27,79,6,10,2,6.21,18,9.200000000000001,0
8,4,2,15,0.09,10,3,6,3,0,0.8999999999999999,16,1.3499999999999999,0
17,4,1,70,0.26,4,63,4,18,2,1.04,17,18.2,1
17,6,0,55,0.47,17,44,2,23,4,7.989999999999999,0,25.849999999999998,1
17,1,0,90,0.77,28,58,3,10,7,21.560000000000002,0,69.3,1
17,1,0,40,0.59,24,73,3,16,5,14.16,0,23.599999999999998,1
6,5,1,45,0.15,27,82,0,21,1,4.05,6,6.75,0
12,2,0,65,0.02,9,38,3,23,0,0.18,0,1.3,1
10,4,1,75,0.47,1,46,0,14,4,0.47,10,35.25,1
6,0,1,35,0.06,16,60,0,11,0,0.96,6,2.1,0
11,4,2,80,0.53,20,97,1,15,5,10.600000000000001,22,42.400000000000006,1
15,0,0,20,0.49,9,30,4,0,4,4.41,0,9.8,1
17,2,1,50,0.82,26,39,4,10,8,21.32,17,41.0,1
16,7,2,30,0.38,5,73,1,10,3,1.9,32,11.4,1
17,6,2,85,0.4,4,58,1,17,4,1.6,34,34.0,1
9,0,1,70,0.43,4,2,3,20,4,1.72,9,30.099999999999998,1
11,3,0,80,0.95,27,91,1,10,9,25.65,0,76.0,1
8,8,1,80,0.42,4,46,4,4,4,1.68,8,33.6,1
8,8,1,85,0.84,19,7,3,21,8,15.959999999999999,8,71.39999999999999,1
16,0,1,85,0.92,16,51,4,21,9,14.72,16,78.2,1
8,2,0,55,0.78,24,31,2,0,7,18.72,0,42.9,1
10,0,2,85,0.94,19,99,1,15,9,17.86,20,79.89999999999999,1
8,9,1,15,0.96,10,77,6,14,9,9.6,8,14.399999999999999,1
11,4,0,55,0.19,20,95,2,13,1,3.8,0,10.45,1
12,0,2,80,0.5,28,60,3,22,5,14.0,24,40.0,1
10,5,1,30,0.44,2,76,5,0,4,0.88,10,13.2,1
8,8,1,25,0.85,15,27,6,12,8,12.75,8,21.25,1
16,2,1,35,0.18,22,23,1,20,1,3.96,16,6.3,1
7,7,0,20,0.76,26,60,6,11,7,19.76,0,15.2,1
15,7,1,100,0.12,15,14,3,5,1,1.7999999999999998,15,12.0,1
9,2,2,90,0.37,9,35,6,17,3,3.33,18,33.3,0
11,9,2,40,0.03,5,14,6,13,0,0.15,22,1.2,0
14,0,0,95,0.86,5,24,0,5,8,4.3,0,81.7,1
16,6,2,90,0.01,28,35,1,21,0,0.28,32,0.9,0
11,4,1,15,0.06,17,4,6,2,0,1.02,11,0.8999999999999999,0
12,7,0,35,0.81,2,52,1,14,8,1.62,0,28.35,1
17,0,1,5,0.94,9,75,1,6,9,8.459999999999999,17,4.699999999999999,1
7,6,1,30,0.25,8,49,4,7,2,2.0,7,7.5,0
6,7,0,95,0.28,14,56,1,17,2,3.9200000000000004,0,26.6,1
5,8,0,95,0.03,12,97,2,8,0,0.36,0,2.85,1
10,9,2,100,0.82,17,42,0,22,8,13.94,20,82.0,1
14,3,2,100,0.22,14,90,1,15,2,3.08,28,22.0,0
7,8,0,30,0.89,3,50,1,11,8,2.67,0,26.7,1
15,0,1,95,0.82,1,17,6,13,8,0.82,15,77.89999999999999,1
16,6,1,65,0.65,26,22,3,5,6,16.900000000000002,16,42.25,1
13,4,1,35,0.59,8,80,5,20,5,4.72,13,20.65,1
14,5,0,75,0.72,16,70,3,9,7,11.52,0,54.0,1
5,6,2,80,0.99,24,53,6,0,9,23.759999999999998,10,79.2,1
7,0,2,5,0.67,29,14,4,5,6,19.43,14,3.35,1
14,0,0,30,0.77,28,48,6,9,7,21.560000000000002,0,23.1,1
8,9,0,45,0.26,18,5,4,7,2,4.68,0,11.700000000000001,1
7,2,1,35,0.25,5,1,1,7,2,1.25,7,8.75,0
10,1,0,25,0.81,28,84,6,10,8,22.68,0,20.25,1
10,0,0,100,0.88,7,44,2,10,8,6.16,0,88.0,1
17,0,0,65,0.58,26,71,6,17,5,15.079999999999998,0,37.699999999999996,1
9,3,2,35,0.76,7,25,1,9,7,5.32,18,26.6,1
8,6,0,95,0.43,0,69,0,11,4,0.0,0,40.85,1
14,8,2,40,0.12,26,35,6,8,1,3.12,28,4.8,0
6,2,2,10,0.44,10,97,4,12,4,4.4,12,4.4,0
10,9,2,100,0.13,1,16,1,7,1,0.13,20,13.0,0
12,6,0,15,0.48,9,76,2,8,4,4.32,0,7.199999999999999,1
7,1,0,65,0.18,24,35,5,2,1,4.32,0,11.7,1
14,3,1,55,0.62,25,13,4,4,6,15.5,14,34.1,1
7,6,1,15,0.7,3,62,2,7,7,2.0999999999999996,7,10.5,1
16,6,0,70,0.85,8,61,2,4,8,6.8,0,59.5,1
15,8,2,65,0.25,3,19,5,0,2,0.75,30,16.25,0
14,6,0,75,0.81,7,4,0,18,8,5.67,0,60.75000000000001,1
14,2,2,90,0.9,10,18,2,1,9,9.0,28,81.0,1
8,2,2,20,0.06,22,30,6,10,0,1.3199999999999998,16,1.2,0
10,0,1,20,0.27,23,99,1,3,2,6.210000000000001,10,5.4,1
14,1,1,40,0.67,1,67,6,14,6,0.67,14,26.8,1
12,9,1,25,0.26,19,17,2,22,2,4.94,12,6.5,0
7,2,0,85,0.55,22,33,5,21,5,12.100000000000001,0,46.75000000000001,1
10,8,0,95,0.18,29,1,2,17,1,5.22,0,17.099999999999998,1
12,7,0,70,0.49,12,74,1,6,4,5.88,0,34.3,1
8,2,2,95,0.99,13,46,0,11,9,12.87,16,94.05,1
14,0,0,55,0.47,17,86,2,13,4,7.989999999999999,0,25.849999999999998,1
9,0,2,55,0.64,25,46,5,16,6,16.0,18,35.2,1
13,3,2,90,0.17,24,42,5,13,1,4.08,26,15.3,0
16,7,0,65,0.79,0,95,4,8,7,0.0,0,51.35,1
11,7,0,95,0.78,11,40,1,20,7,8.58,0,74.10000000000001,1
10,5,0,95,0.39,17,21,1,5,3,6.63,0,37.050000000000004,1
10,0,0,90,0.18,23,85,5,12,1,4.14,0,16.2,1
7,4,1,30,0.55,6,76,6,8,5,3.3000000000000003,7,16.5,1
7,0,0,30,0.79,7,36,0,9,7,5.53,0,23.700000000000003,1
14,9,0,100,0.01,0,78,5,20,0,0.0,0,1.0,1
11,6,0,75,0.04,13,52,0,8,0,0.52,0,3.0,1
10,0,2,60,0.43,5,9,3,9,4,2.15,20,25.8,0
15,0,0,40,0.61,1,95,6,2,6,0.61,0,24.4,1
14,3,0,60,0.76,17,80,1,4,7,12.92,0,45.6,1
7,4,1,15,0.09,18,29,3,0,0,1.6199999999999999,7,1.3499999999999999,0
16,0,1,5,0.93,4,60,3,21,9,3.72,16,4.65,1
5,5,1,45,0.4,29,88,5,13,4,11.600000000000001,5,18.0,1
5,7,1,25,0.39,6,91,4,22,3,2.34,5,9.75,1
10,0,0,95,0.33,14,23,1,8,3,4.62,0,31.35,1
11,1,1,70,0.66,27,29,5,3,6,17.82,11,46.2,1
8,3,1,20,0.01,29,80,2,9,0,0.29,8,0.2,0
16,1,1,50,0.14,6,92,0,12,1,0.8400000000000001,16,7.000000000000001,1
9,1,2,35,0.46,14,61,5,12,4,6.44,18,16.1,0
12,6,0,70,0.86,6,33,4,9,8,5.16,0,60.199999999999996,1
7,9,0,45,0.88,25,9,3,10,8,22.0,0,39.6,1
10,1,2,90,0.44,2,64,4,19,4,0.88,20,39.6,0
14,3,0,50,0.7,1,22,2,17,7,0.7,0,35.0,1
8,7,1,45,0.77,2,99,3,5,7,1.54,8,34.65,1
8,4,1,70,0.78,25,26,4,12,7,19.5,8,54.6,1
14,4,1,95,0.76,0,22,2,9,7,0.0,14,72.2,1
17,8,1,40,0.38,24,18,3,17,3,9.120000000000001,17,15.2,1
14,0,1,75,0.17,16,56,5,22,1,2.72,14,12.750000000000002,1
9,1,2,5,0.98,0,77,2,7,9,0.0,18,4.9,1
13,5,2,55,0.48,30,35,1,2,4,14.399999999999999,26,26.4,1
11,4,0,55,0.78,19,3,6,1,7,14.82,0,42.9,1
14,3,1,90,0.08,21,55,0,9,0,1.68,14,7.2,0
15,6,2,20,0.29,14,65,4,8,2,4.06,30,5.8,0
9,3,1,10,0.4,12,11,4,14,4,4.800000000000001,9,4.0,1
15,5,1,45,0.9,27,60,1,21,9,24.3,15,40.5,1
11,3,1,90,0.92,28,9,2,21,9,25.76,11,82.8,1
9,1,2,60,0.82,23,78,4,1,8,18.86,18,49.199999999999996,1
5,2,1,80,0.92,5,74,6,3,9,4.6000000000000005,5,73.60000000000001,1
5,8,1,55,0.04,14,84,6,17,0,0.56,5,2.2,0
11,0,1,40,0.36,24,55,0,10,3,8.64,11,14.399999999999999,1
5,3,2,40,0.44,29,55,4,16,4,12.76,10,17.6,1
5,6,1,75,0.67,0,52,3,22,6,0.0,5,50.25,1
17,1,2,25,0.18,5,54,3,15,1,0.8999999999999999,34,4.5,0
14,4,0,100,0.02,16,58,4,20,0,0.32,0,2.0,1
13,6,1,35,0.5,10,87,4,1,5,5.0,13,17.5,1
11,7,0,95,0.41,9,88,6,5,4,3.69,0,38.949999999999996,1
16,8,2,100,0.87,16,97,3,12,8,13.92,32,87.0,1
5,5,2,55,0.85,27,86,5,9,8,22.95,10,46.75,1
14,2,0,20,0.69,1,34,5,17,6,0.69,0,13.799999999999999,1
11,1,2,65,0.68,14,4,3,12,6,9.520000000000001,22,44.2,1
8,2,0,15,0.4,5,74,5,0,4,2.0,0,6.0,1
12,3,2,95,0.18,26,66,6,19,1,4.68,24,17.099999999999998,0
6,9,2,30,0.49,17,20,3,22,4,8.33,12,14.7,0
10,3,0,75,0.09,23,1,4,13,0,2.07,0,6.75,1
9,9,1,30,0.41,9,21,0,6,4,3.69,9,12.299999999999999,1
16,9,2,40,0.97,2,87,6,7,9,1.94,32,38.8,1
10,4,2,100,0.69,3,37,2,18,6,2.07,20,69.0,1
14,6,1,5,0.99,19,23,0,19,9,18.81,14,4.95,1
10,8,1,35,0.0,8,78,4,5,0,0.0,10,0.0,0
9,3,2,85,0.74,8,85,6,7,7,5.92,18,62.9,1
17,0,2,25,0.78,22,87,6,23,7,17.16,34,19.5,1
6,7,2,90,0.11,15,65,6,0,1,1.65,12,9.9,0
11,6,2,45,0.66,21,15,2,20,6,13.860000000000001,22,29.700000000000003,1
13,9,0,20,0.38,27,33,6,18,3,10.26,0,7.6,1
16,2,2,85,0.09,0,26,3,1,0,0.0,32,7.6499999999999995,0
6,7,0,100,0.98,13,81,2,1,9,12.74,0,98.0,1
12,0,0,5,0.51,17,5,4,20,5,8.67,0,2.55,1
6,7,0,65,0.15,5,77,3,17,1,0.75,0,9.75,1
